Run,Sample_ID,LTE,Cultivar,Trt
220119AG,BR.constant,-8,BR,constant
220119AG,BR.constant,-9.6,BR,constant
220119AG,BR.constant,-11.2,BR,constant
220119AG,MQ.constant,-13.8,MQ,constant
220119AG,BR.constant,-13.9,BR,constant
220119AG,BR.constant,-14,BR,constant
220119AG,MQ.constant,-14.2,MQ,constant
220119AG,MQ.constant,-14.7,MQ,constant
220119AG,LC.constant,-14.7,LC,constant
220119AG,MQ.constant,-14.7,MQ,constant
220119AG,LC.constant,-14.8,LC,constant
220119AG,LC.constant,-15,LC,constant
220119AG,MQ.constant,-15.1,MQ,constant
220119AG,BR.constant,-15.5,BR,constant
220119AG,PP.constant,-15.5,PP,constant
220119AG,LC.constant,-15.6,LC,constant
220119AG,MQ.constant,-15.6,MQ,constant
220119AG,LC.constant,-15.7,LC,constant
220119AG,LC.constant,-15.8,LC,constant
220119AG,BR.constant,-15.9,BR,constant
220119AG,PP.constant,-15.9,PP,constant
220119AG,LC.constant,-15.9,LC,constant
220119AG,BR.constant,-16,BR,constant
220119AG,MQ.constant,-16.1,MQ,constant
220119AG,MQ.fluctuating,-16.3,MQ,fluctuating
220119AG,LC.constant,-16.3,LC,constant
220119AG,BR.constant,-16.3,BR,constant
220119AG,BR.constant,-16.4,BR,constant
220119AG,PP.constant,-16.4,PP,constant
220119AG,PP.constant,-16.4,PP,constant
220119AG,PP.constant,-16.5,PP,constant
220119AG,MQ.constant,-16.5,MQ,constant
220119AG,PP.constant,-16.6,PP,constant
220119AG,BR.constant,-16.6,BR,constant
220119AG,LC.constant,-16.7,LC,constant
220119AG,BR.constant,-16.7,BR,constant
220119AG,PP.constant,-16.8,PP,constant
220119AG,MQ.constant,-16.9,MQ,constant
220119AG,BR.fluctuating,-17,BR,fluctuating
220119AG,PP.constant,-17,PP,constant
220119AG,LC.constant,-17,LC,constant
220119AG,PP.constant,-17.2,PP,constant
220119AG,LC.constant,-17.2,LC,constant
220119AG,LC.fluctuating,-17.2,LC,fluctuating
220119AG,MQ.constant,-17.3,MQ,constant
220119AG,LC.fluctuating,-17.4,LC,fluctuating
220119AG,PP.constant,-17.5,PP,constant
220119AG,LC.constant,-17.5,LC,constant
220119AG,FR.constant,-17.5,FR,constant
220119AG,BR.constant,-17.6,BR,constant
220119AG,PP.constant,-17.7,PP,constant
220119AG,LC.constant,-17.8,LC,constant
220119AG,BR.constant,-17.9,BR,constant
220119AG,PP.constant,-17.9,PP,constant
220119AG,MQ.constant,-17.9,MQ,constant
220119AG,BR.constant,-18.1,BR,constant
220119AG,BR.fluctuating,-18.3,BR,fluctuating
220119AG,LC.fluctuating,-18.3,LC,fluctuating
220119AG,LC.fluctuating,-18.4,LC,fluctuating
220119AG,MQ.fluctuating,-18.4,MQ,fluctuating
220119AG,MQ.constant,-18.4,MQ,constant
220119AG,FR.constant,-18.5,FR,constant
220119AG,BR.fluctuating,-18.6,BR,fluctuating
220119AG,BR.fluctuating,-18.7,BR,fluctuating
220119AG,MQ.fluctuating,-18.8,MQ,fluctuating
220119AG,LC.fluctuating,-18.8,LC,fluctuating
220119AG,FR.constant,-18.8,FR,constant
220119AG,FR.constant,-18.9,FR,constant
220119AG,FR.constant,-19,FR,constant
220119AG,MQ.fluctuating,-19.1,MQ,fluctuating
220119AG,MQ.fluctuating,-19.2,MQ,fluctuating
220119AG,MQ.fluctuating,-19.2,MQ,fluctuating
220119AG,LC.constant,-19.2,LC,constant
220119AG,FR.constant,-19.4,FR,constant
220119AG,BR.constant,-19.5,BR,constant
220119AG,BR.fluctuating,-19.6,BR,fluctuating
220119AG,PP.fluctuating,-19.6,PP,fluctuating
220119AG,FR.fluctuating,-19.9,FR,fluctuating
220119AG,FR.constant,-20,FR,constant
220119AG,MQ.fluctuating,-20,MQ,fluctuating
220119AG,BR.fluctuating,-20.1,BR,fluctuating
220119AG,MQ.fluctuating,-20.1,MQ,fluctuating
220119AG,MQ.fluctuating,-20.2,MQ,fluctuating
220119AG,PP.fluctuating,-20.2,PP,fluctuating
220119AG,LC.fluctuating,-20.2,LC,fluctuating
220119AG,PP.fluctuating,-20.4,PP,fluctuating
220119AG,BR.fluctuating,-20.5,BR,fluctuating
220119AG,BR.fluctuating,-20.5,BR,fluctuating
220119AG,FR.constant,-20.6,FR,constant
220119AG,MQ.fluctuating,-20.7,MQ,fluctuating
220119AG,MQ.fluctuating,-20.7,MQ,fluctuating
220119AG,PP.fluctuating,-20.8,PP,fluctuating
220119AG,MQ.fluctuating,-20.8,MQ,fluctuating
220119AG,LC.fluctuating,-20.8,LC,fluctuating
220119AG,FR.constant,-20.8,FR,constant
220119AG,PP.fluctuating,-21,PP,fluctuating
220119AG,LC.fluctuating,-21,LC,fluctuating
220119AG,LC.fluctuating,-21.4,LC,fluctuating
220119AG,BR.fluctuating,-21.7,BR,fluctuating
220119AG,BR.fluctuating,-21.7,BR,fluctuating
220119AG,PP.fluctuating,-21.8,PP,fluctuating
220119AG,LC.fluctuating,-21.8,LC,fluctuating
220119AG,PP.fluctuating,-21.9,PP,fluctuating
220119AG,FR.fluctuating,-21.9,FR,fluctuating
220119AG,BR.fluctuating,-22,BR,fluctuating
220119AG,LC.fluctuating,-22.2,LC,fluctuating
220119AG,PP.fluctuating,-22.3,PP,fluctuating
220119AG,MQ.fluctuating,-22.3,MQ,fluctuating
220119AG,FR.fluctuating,-22.4,FR,fluctuating
220119AG,BR.fluctuating,-22.4,BR,fluctuating
220119AG,LC.fluctuating,-22.5,LC,fluctuating
220119AG,FR.fluctuating,-22.6,FR,fluctuating
220119AG,FR.fluctuating,-22.7,FR,fluctuating
220119AG,BR.fluctuating,-22.8,BR,fluctuating
220119AG,FR.fluctuating,-22.8,FR,fluctuating
220119AG,FR.fluctuating,-22.9,FR,fluctuating
220119AG,BR.fluctuating,-23.1,BR,fluctuating
220119AG,FR.fluctuating,-23.2,FR,fluctuating
220119AG,FR.fluctuating,-23.3,FR,fluctuating
220119AG,LC.fluctuating,-23.3,LC,fluctuating
220119AG,PP.fluctuating,-23.4,PP,fluctuating
220119AG,FR.fluctuating,-23.7,FR,fluctuating
220119AG,FR.fluctuating,-23.8,FR,fluctuating
220119AG,MQ.field,-23.9,MQ,field
220119AG,FR.fluctuating,-24.1,FR,fluctuating
220119AG,MQ.field,-24.7,MQ,field
220119AG,PP.field,-25.1,PP,field
220119AG,PP.field,-25.4,PP,field
220119AG,PP.field,-25.5,PP,field
220119AG,FR.fluctuating,-25.5,FR,fluctuating
220119AG,BR.field,-25.5,BR,field
220119AG,FR.fluctuating,-25.6,FR,fluctuating
220119AG,MQ.field,-25.6,MQ,field
220119AG,FR.fluctuating,-26.1,FR,fluctuating
220119AG,LC.field,-26.3,LC,field
220119AG,PP.field,-26.6,PP,field
220119AG,MQ.field,-26.6,MQ,field
220119AG,FR.field,-26.8,FR,field
220119AG,LC.field,-27.2,LC,field
220119AG,MQ.field,-27.2,MQ,field
220119AG,PP.field,-27.3,PP,field
220119AG,LC.field,-27.3,LC,field
220119AG,PP.field,-27.4,PP,field
220119AG,PP.field,-27.7,PP,field
220119AG,FR.field,-27.7,FR,field
220119AG,BR.field,-27.8,BR,field
220119AG,LC.field,-27.8,LC,field
220119AG,LC.field,-27.8,LC,field
220119AG,MQ.field,-27.9,MQ,field
220119AG,FR.field,-27.9,FR,field
220119AG,FR.field,-27.9,FR,field
220119AG,LC.field,-27.9,LC,field
220119AG,PP.field,-28,PP,field
220119AG,PP.field,-28.1,PP,field
220119AG,LC.field,-28.1,LC,field
220119AG,MQ.field,-28.1,MQ,field
220119AG,BR.field,-28.2,BR,field
220119AG,MQ.field,-28.3,MQ,field
220119AG,FR.field,-28.3,FR,field
220119AG,PP.field,-28.3,PP,field
220119AG,PP.field,-28.5,PP,field
220119AG,LC.field,-28.7,LC,field
220119AG,MQ.field,-28.7,MQ,field
220119AG,MQ.field,-28.8,MQ,field
220119AG,LC.field,-28.8,LC,field
220119AG,BR.field,-28.8,BR,field
220119AG,PP.field,-28.9,PP,field
220119AG,MQ.field,-29,MQ,field
220119AG,LC.field,-29,LC,field
220119AG,MQ.field,-29.1,MQ,field
220119AG,BR.field,-29.1,BR,field
220119AG,FR.field,-29.3,FR,field
220119AG,MQ.field,-29.4,MQ,field
220119AG,MQ.field,-29.5,MQ,field
220119AG,PP.field,-29.5,PP,field
220119AG,BR.field,-29.5,BR,field
220119AG,MQ.field,-29.6,MQ,field
220119AG,FR.field,-29.6,FR,field
220119AG,BR.field,-29.6,BR,field
220119AG,BR.field,-29.6,BR,field
220119AG,FR.field,-29.8,FR,field
220119AG,PP.field,-29.9,PP,field
220119AG,BR.field,-30,BR,field
220119AG,FR.field,-30.1,FR,field
220119AG,FR.field,-30.1,FR,field
220119AG,FR.field,-30.6,FR,field
220119AG,BR.field,-30.6,BR,field
220119AG,BR.field,-31.4,BR,field
220119AG,LC.con-flu,-13.2,LC,con-flu
220119AG,PP.con-flu,-14.4,PP,con-flu
220119AG,PP.con-flu,-16,PP,con-flu
220119AG,LC.flu-con,-16.5,LC,flu-con
220119AG,LC.con-flu,-16.5,LC,con-flu
220119AG,BR.con-flu,-17.3,BR,con-flu
220119AG,MQ.flu-con,-17.5,MQ,flu-con
220119AG,LC.con-flu,-17.5,LC,con-flu
220119AG,LC.flu-con,-17.6,LC,flu-con
220119AG,MQ.flu-con,-18,MQ,flu-con
220119AG,MQ.flu-con,-18.1,MQ,flu-con
220119AG,BR.flu-con,-18.4,BR,flu-con
220119AG,LC.con-flu,-18.4,LC,con-flu
220119AG,BR.con-flu,-18.5,BR,con-flu
220119AG,MQ.flu-con,-18.5,MQ,flu-con
220119AG,BR.con-flu,-18.8,BR,con-flu
220119AG,BR.con-flu,-18.8,BR,con-flu
220119AG,LC.flu-con,-18.8,LC,flu-con
220119AG,MQ.flu-con,-18.8,MQ,flu-con
220119AG,FR.flu-con,-18.8,FR,flu-con
220119AG,BR.flu-con,-18.9,BR,flu-con
220119AG,MQ.con-flu,-18.9,MQ,con-flu
220119AG,PP.con-flu,-19,PP,con-flu
220119AG,MQ.flu-con,-19.2,MQ,flu-con
220119AG,LC.con-flu,-19.2,LC,con-flu
220119AG,MQ.flu-con,-19.2,MQ,flu-con
220119AG,MQ.con-flu,-19.3,MQ,con-flu
220119AG,BR.con-flu,-19.3,BR,con-flu
220119AG,MQ.con-flu,-19.4,MQ,con-flu
220119AG,LC.con-flu,-19.4,LC,con-flu
220119AG,BR.con-flu,-19.5,BR,con-flu
220119AG,MQ.con-flu,-19.5,MQ,con-flu
220119AG,MQ.flu-con,-19.5,MQ,flu-con
220119AG,PP.flu-con,-19.6,PP,flu-con
220119AG,BR.flu-con,-19.6,BR,flu-con
220119AG,MQ.flu-con,-19.7,MQ,flu-con
220119AG,MQ.con-flu,-19.7,MQ,con-flu
220119AG,LC.flu-con,-19.7,LC,flu-con
220119AG,PP.con-flu,-19.7,PP,con-flu
220119AG,LC.flu-con,-19.8,LC,flu-con
220119AG,MQ.con-flu,-19.9,MQ,con-flu
220119AG,BR.flu-con,-19.9,BR,flu-con
220119AG,PP.flu-con,-20,PP,flu-con
220119AG,MQ.flu-con,-20,MQ,flu-con
220119AG,MQ.con-flu,-20.1,MQ,con-flu
220119AG,LC.con-flu,-20.1,LC,con-flu
220119AG,LC.flu-con,-20.1,LC,flu-con
220119AG,MQ.con-flu,-20.1,MQ,con-flu
220119AG,LC.flu-con,-20.1,LC,flu-con
220119AG,MQ.flu-con,-20.1,MQ,flu-con
220119AG,BR.flu-con,-20.2,BR,flu-con
220119AG,LC.con-flu,-20.2,LC,con-flu
220119AG,PP.con-flu,-20.4,PP,con-flu
220119AG,MQ.flu-con,-20.4,MQ,flu-con
220119AG,MQ.flu-con,-20.5,MQ,flu-con
220119AG,BR.con-flu,-20.5,BR,con-flu
220119AG,MQ.con-flu,-20.5,MQ,con-flu
220119AG,BR.flu-con,-20.5,BR,flu-con
220119AG,MQ.con-flu,-20.5,MQ,con-flu
220119AG,BR.con-flu,-20.5,BR,con-flu
220119AG,LC.flu-con,-20.5,LC,flu-con
220119AG,MQ.flu-con,-20.7,MQ,flu-con
220119AG,LC.con-flu,-20.7,LC,con-flu
220119AG,LC.flu-con,-20.7,LC,flu-con
220119AG,BR.con-flu,-20.8,BR,con-flu
220119AG,PP.con-flu,-20.9,PP,con-flu
220119AG,BR.con-flu,-20.9,BR,con-flu
220119AG,BR.flu-con,-21,BR,flu-con
220119AG,PP.flu-con,-21,PP,flu-con
220119AG,PP.flu-con,-21,PP,flu-con
220119AG,PP.flu-con,-21.1,PP,flu-con
220119AG,BR.flu-con,-21.1,BR,flu-con
220119AG,PP.con-flu,-21.1,PP,con-flu
220119AG,PP.flu-con,-21.2,PP,flu-con
220119AG,LC.con-flu,-21.2,LC,con-flu
220119AG,LC.flu-con,-21.2,LC,flu-con
220119AG,MQ.con-flu,-21.2,MQ,con-flu
220119AG,FR.con-flu,-21.3,FR,con-flu
220119AG,BR.flu-con,-21.3,BR,flu-con
220119AG,BR.con-flu,-21.3,BR,con-flu
220119AG,BR.con-flu,-21.4,BR,con-flu
220119AG,FR.flu-con,-21.4,FR,flu-con
220119AG,BR.flu-con,-21.5,BR,flu-con
220119AG,MQ.con-flu,-21.5,MQ,con-flu
220119AG,LC.con-flu,-21.6,LC,con-flu
220119AG,LC.flu-con,-21.6,LC,flu-con
220119AG,BR.con-flu,-21.7,BR,con-flu
220119AG,BR.flu-con,-21.7,BR,flu-con
220119AG,FR.flu-con,-21.7,FR,flu-con
220119AG,PP.con-flu,-21.7,PP,con-flu
220119AG,FR.con-flu,-21.8,FR,con-flu
220119AG,BR.flu-con,-21.8,BR,flu-con
220119AG,LC.con-flu,-21.8,LC,con-flu
220119AG,PP.flu-con,-21.8,PP,flu-con
220119AG,PP.con-flu,-21.9,PP,con-flu
220119AG,LC.con-flu,-21.9,LC,con-flu
220119AG,BR.con-flu,-21.9,BR,con-flu
220119AG,FR.con-flu,-21.9,FR,con-flu
220119AG,FR.flu-con,-21.9,FR,flu-con
220119AG,PP.con-flu,-22,PP,con-flu
220119AG,FR.con-flu,-22.1,FR,con-flu
220119AG,MQ.con-flu,-22.1,MQ,con-flu
220119AG,FR.flu-con,-22.1,FR,flu-con
220119AG,PP.flu-con,-22.2,PP,flu-con
220119AG,BR.flu-con,-22.2,BR,flu-con
220119AG,LC.con-flu,-22.3,LC,con-flu
220119AG,BR.flu-con,-22.4,BR,flu-con
220119AG,PP.flu-con,-22.4,PP,flu-con
220119AG,MQ.con-flu,-22.4,MQ,con-flu
220119AG,BR.con-flu,-22.4,BR,con-flu
220119AG,PP.con-flu,-22.4,PP,con-flu
220119AG,FR.con-flu,-22.5,FR,con-flu
220119AG,PP.flu-con,-22.5,PP,flu-con
220119AG,LC.con-flu,-22.5,LC,con-flu
220119AG,PP.flu-con,-22.7,PP,flu-con
220119AG,FR.con-flu,-22.8,FR,con-flu
220119AG,BR.con-flu,-22.8,BR,con-flu
220119AG,PP.con-flu,-22.8,PP,con-flu
220119AG,PP.flu-con,-22.8,PP,flu-con
220119AG,FR.con-flu,-22.8,FR,con-flu
220119AG,FR.con-flu,-22.9,FR,con-flu
220119AG,FR.flu-con,-22.9,FR,flu-con
220119AG,PP.con-flu,-23,PP,con-flu
220119AG,FR.con-flu,-23,FR,con-flu
220119AG,LC.flu-con,-23.1,LC,flu-con
220119AG,PP.flu-con,-23.1,PP,flu-con
220119AG,FR.flu-con,-23.1,FR,flu-con
220119AG,BR.flu-con,-23.2,BR,flu-con
220119AG,BR.con-flu,-23.2,BR,con-flu
220119AG,FR.flu-con,-23.2,FR,flu-con
220119AG,FR.flu-con,-23.2,FR,flu-con
220119AG,PP.con-flu,-23.2,PP,con-flu
220119AG,LC.con-flu,-23.3,LC,con-flu
220119AG,PP.flu-con,-23.3,PP,flu-con
220119AG,FR.con-flu,-23.3,FR,con-flu
220119AG,FR.con-flu,-23.4,FR,con-flu
220119AG,LC.flu-con,-23.6,LC,flu-con
220119AG,PP.flu-con,-23.7,PP,flu-con
220119AG,FR.flu-con,-23.7,FR,flu-con
220119AG,PP.con-flu,-23.7,PP,con-flu
220119AG,FR.con-flu,-23.9,FR,con-flu
220119AG,LC.con-flu,-23.9,LC,con-flu
220119AG,FR.con-flu,-23.9,FR,con-flu
220119AG,FR.flu-con,-23.9,FR,flu-con
220119AG,FR.flu-con,-24,FR,flu-con
220119AG,FR.con-flu,-24.3,FR,con-flu
220119AG,LC.flu-con,-24.6,LC,flu-con
220119AG,FR.con-flu,-24.6,FR,con-flu
220119AG,BR.flu-con,-24.8,BR,flu-con
220119AG,LC.flu-con,-25,LC,flu-con
220119AG,FR.con-flu,-25.9,FR,con-flu